Time	Channel A	Channel B
(us)	(mV)	(mV)

-1.00490005	-3.14340600	-2.84432500
-0.99990005	-0.82399970	-1.91656200
-0.99490005	0.35096280	-1.47099200
-0.98990005	0.35096280	-1.56254800
-0.98490005	-0.82399970	-1.56254800
-0.97990005	-3.14340600	-1.47099200
-0.97490005	-4.25733200	-1.94097700
-0.96990005	-4.02844300	-2.96029500
-0.96490005	-4.02844300	-2.93588100
-0.95990005	-4.25733200	-1.82500700
-0.95490005	-3.08236900	-1.82500700
-0.94990005	-0.53407390	-2.93588100
-0.94490005	-0.53407390	-2.96029500
-0.93990005	-3.08236900	-1.94097700
-0.93490005	-4.25733200	-1.47099200
-0.92990005	-4.02844300	-1.56254800
-0.92490005	-4.02844300	-1.58696200
-0.91990005	-4.25733200	-1.58696200
-0.91490005	-3.08236900	-1.58696200
-0.90990005	-0.53407390	-1.58696200
-0.90490005	-0.53407390	-1.61137700
-0.89990005	-3.08236900	-1.70293300
-0.89490005	-4.25733200	-1.28177700
-0.88990005	-4.02844300	-0.44557020
-0.88490005	-4.02844300	0.46998500
-0.87990005	-4.25733200	1.39774800
-0.87490005	-3.14340600	1.39774800
-0.86990005	-0.82399970	0.46998500
-0.86490005	0.35096280	-0.46998500
-0.85990005	0.35096280	-1.39774800
-0.85490005	-0.82399970	-1.34891800
-0.84990005	-3.14340600	-0.23804440
-0.84490005	-4.25733200	-0.23804440
-0.83990005	-4.02844300	-1.34891800
-0.83490005	-4.02844300	-1.37333300
-0.82990005	-4.25733200	-0.35401470
-0.82490005	-3.08236900	0.11597030
-0.81990005	-0.53407390	0.02441481
-0.81490005	-0.53407390	0.02441481
-0.80990006	-3.08236900	0.11597030
-0.80490006	-4.25733200	-0.35401470
-0.79990006	-4.02844300	-1.37333300
-0.79490006	-3.96740600	-1.34891800
-0.78990006	-3.96740600	-0.23804440
-0.78490006	-4.02844300	-0.23804440
-0.77990006	-4.25733200	-1.34891800
-0.77490006	-3.14340600	-1.37333300
-0.76990006	-0.82399970	-0.35401470
-0.76490006	0.35096280	0.14038510
-0.75990006	0.35096280	0.14038510
-0.75490006	-0.82399970	-0.32959990
-0.74990006	-3.14340600	-1.25736300
-0.74490006	-4.25733200	-1.70293300
-0.73990006	-4.02844300	-1.61137700
-0.73490006	-4.02844300	-1.58696200
-0.72990006	-4.25733200	-1.58696200
-0.72490006	-3.08236900	-1.58696200
-0.71990006	-0.53407390	-1.58696200
-0.71490006	-0.53407390	-1.56254800
