Time	Channel A	Channel B
(us)	(mV)	(mV)

-1.01241998	-3.96740600	0.14038510
-1.00741998	-3.96740600	0.14038510
-1.00241998	-3.96740600	-0.32959990
-0.99741998	-3.96740600	-1.25736300
-0.99241998	-3.96740600	-1.70293300
-0.98741998	-3.96740600	-1.61137700
-0.98241998	-3.96740600	-1.58696200
-0.97741998	-3.96740600	-1.58696200
-0.97241998	-4.02844300	-1.61137700
-0.96741998	-4.25733200	-1.70293300
-0.96241998	-3.08236900	-1.25736300
-0.95741998	-0.53407390	-0.32959990
-0.95241998	-0.53407390	0.09155553
-0.94741998	-3.08236900	-0.09155553
-0.94241998	-4.25733200	0.35401470
-0.93741998	-4.02844300	1.37333300
-0.93241998	-3.96740600	1.37333300
-0.92741998	-3.96740600	0.35401470
-0.92241998	-3.96740600	-0.11597030
-0.91741998	-3.96740600	-0.02441481
-0.91241998	-3.96740600	0.00000000
-0.90741998	-3.96740600	0.00000000
-0.90241998	-4.02844300	0.02441481
-0.89741998	-4.25733200	0.11597030
-0.89241998	-3.08236900	-0.32959990
-0.88741998	-0.53407390	-1.25736300
-0.88241998	-0.53407390	-1.70293300
-0.87741998	-3.08236900	-1.61137700
-0.87241998	-4.25733200	-1.58696200
-0.86741998	-4.02844300	-1.58696200
-0.86241998	-4.02844300	-1.58696200
-0.85741998	-4.25733200	-1.58696200
-0.85241998	-3.14340600	-1.58696200
-0.84741998	-0.82399970	-1.58696200
-0.84241998	0.35096280	-1.58696200
-0.83741998	0.35096280	-1.58696200
-0.83241998	-0.82399970	-1.58696200
-0.82741998	-3.14340600	-1.58696200
-0.82241998	-4.25733200	-1.58696200
-0.81741998	-4.02844300	-1.58696200
-0.81241998	-3.96740600	-1.58696200
-0.80741998	-3.96740600	-1.58696200
-0.80241998	-3.96740600	-1.58696200
-0.79741998	-3.96740600	-1.58696200
-0.79241998	-4.02844300	-1.58696200
-0.78741998	-4.25733200	-1.58696200
-0.78241998	-3.08236900	-1.58696200
-0.77741998	-0.53407390	-1.58696200
-0.77241998	-0.53407390	-1.58696200
-0.76741998	-3.08236900	-1.58696200
-0.76241998	-4.31836900	-1.58696200
-0.75741998	-4.31836900	-1.58696200
-0.75241998	-3.08236900	-1.61137700
-0.74741999	-0.53407390	-1.70293300
-0.74241999	-0.59511090	-1.23294800
-0.73741999	-3.37229500	-0.21362960
-0.73241999	-3.37229500	-0.23804440
-0.72741999	-0.59511090	-1.34891800
-0.72241999	-0.59511090	-1.37333300
