Time	Channel A	Channel B
(us)	(V)	(mV)

-1.00787296	-0.00106815	-3.17392500
-1.00287296	-0.00616474	-3.17392500
-0.99787296	-0.00863674	-3.17392500
-0.99287296	-0.00863674	-3.17392500
-0.98787296	-0.00628681	-3.14951000
-0.98287296	-0.00164800	-3.05795500
-0.97787296	0.00057985	-3.50352500
-0.97287296	0.00012207	-4.43128700
-0.96787296	0.00000000	-4.87685800
-0.96287296	0.00000000	-4.78530200
-0.95787296	0.00012207	-4.76088700
-0.95287296	0.00057985	-4.76088700
-0.94787297	-0.00177007	-4.76088700
-0.94287297	-0.00686667	-4.76088700
-0.93787297	-0.00674459	-4.78530200
-0.93287297	-0.00119022	-4.87685800
-0.92787297	-0.00106815	-4.43128700
-0.92287297	-0.00616474	-3.50352500
-0.91787297	-0.00851466	-3.05795500
-0.91287297	-0.00805689	-3.14951000
-0.90787297	-0.00793481	-3.19834000
-0.90287297	-0.00793481	-3.28989500
-0.89787297	-0.00793481	-2.84432500
-0.89287297	-0.00793481	-1.91656200
-0.88787297	-0.00793481	-1.44657700
-0.88287297	-0.00793481	-1.44657700
-0.87787297	-0.00805689	-1.94097700
-0.87287297	-0.00851466	-2.96029500
-0.86787297	-0.00628681	-2.93588100
-0.86287297	-0.00164800	-1.82500700
-0.85787297	0.00057985	-1.80059200
-0.85287297	0.00012207	-2.81991000
-0.84787297	0.00000000	-3.28989500
-0.84287297	0.00000000	-3.19834000
-0.83787297	0.00000000	-3.19834000
-0.83287297	0.00000000	-3.28989500
-0.82787297	0.00000000	-2.84432500
-0.82287297	0.00000000	-1.91656200
-0.81787297	0.00012207	-1.47099200
-0.81287297	0.00057985	-1.56254800
-0.80787297	-0.00164800	-1.58696200
-0.80287297	-0.00628681	-1.58696200
-0.79787297	-0.00851466	-1.58696200
-0.79287297	-0.00805689	-1.58696200
-0.78787297	-0.00793481	-1.58696200
-0.78287297	-0.00793481	-1.58696200
-0.77787297	-0.00793481	-1.56254800
-0.77287297	-0.00793481	-1.47099200
-0.76787297	-0.00793481	-1.91656200
-0.76287297	-0.00793481	-2.84432500
-0.75787297	-0.00793481	-3.26548100
-0.75287297	-0.00793481	-3.08237000
-0.74787297	-0.00793481	-3.52794000
-0.74287297	-0.00793481	-4.54725700
-0.73787297	-0.00793481	-4.52284300
-0.73287297	-0.00793481	-3.41196900
-0.72787297	-0.00793481	-3.38755500
-0.72287297	-0.00793481	-4.40687300
-0.71787297	-0.00805689	-4.85244300
-0.71287297	-0.00851466	-4.66933200
-0.70787297	-0.00616474	-5.11490200
-0.70287297	-0.00106815	-6.13422100
-0.69787297	-0.00106815	-6.13422100
-0.69287297	-0.00616474	-5.11490200
-0.68787297	-0.00851466	-4.64491700
-0.68287297	-0.00805689	-4.73647300
-0.67787297	-0.00793481	-4.78530200
-0.67287297	-0.00793481	-4.87685800
-0.66787297	-0.00805689	-4.43128700
-0.66287297	-0.00851466	-3.50352500
-0.65787297	-0.00616474	-3.05795500
