Time	Channel A	Channel B
(us)	(V)	(mV)

-1.00365905	0.00863674	7.93481200
-0.99865905	0.00863674	7.93481200
-0.99365905	0.00616474	7.93481200
-0.98865905	0.00106815	7.93481200
-0.98365905	0.00106815	7.93481200
-0.97865905	0.00616474	7.93481200
-0.97365905	0.00851466	7.93481200
-0.96865905	0.00805689	7.93481200
-0.96365905	0.00793481	7.91039800
-0.95865905	0.00793481	7.81884200
-0.95365905	0.00793481	8.26441300
-0.94865905	0.00793481	9.19217500
-0.94365905	0.00805689	9.63774600
-0.93865905	0.00851466	9.54619000
-0.93365905	0.00628681	9.49735900
-0.92865905	0.00164800	9.40580500
-0.92365905	-0.00057985	9.87579000
-0.91865905	-0.00012207	10.89511000
-0.91365905	-0.00012207	10.89511000
-0.90865905	-0.00057985	9.87579000
-0.90365905	0.00164800	9.38139000
-0.89865905	0.00628681	9.38139000
-0.89365905	0.00863674	9.87579000
-0.88865905	0.00863674	10.89511000
-0.88365905	0.00628681	10.89511000
-0.87865905	0.00164800	9.87579000
-0.87365905	-0.00070193	9.40580500
-0.86865905	-0.00070193	9.49735900
-0.86365905	0.00177007	9.52177400
-0.85865905	0.00686667	9.52177400
-0.85365905	0.00674459	9.52177400
-0.84865905	0.00119022	9.52177400
-0.84365905	0.00106815	9.52177400
-0.83865905	0.00616474	9.52177400
-0.83365905	0.00851466	9.52177400
-0.82865905	0.00805689	9.52177400
-0.82365905	0.00805689	9.54619000
-0.81865905	0.00851466	9.63774600
-0.81365905	0.00628681	9.19217500
-0.80865905	0.00164800	8.26441300
-0.80365905	-0.00057985	7.81884200
-0.79865905	-0.00012207	7.91039800
-0.79365905	-0.00012207	7.93481200
-0.78865905	-0.00057985	7.93481200
-0.78365905	0.00177007	7.93481200
-0.77865905	0.00686667	7.93481200
-0.77365905	0.00686667	7.91039800
-0.76865905	0.00177007	7.81884200
-0.76365905	-0.00070193	8.28882700
-0.75865905	-0.00070193	9.30814500
-0.75365905	0.00177007	9.28373100
-0.74865905	0.00686667	8.17285700
-0.74365905	0.00674459	8.17285700
-0.73865905	0.00119022	9.28373100
-0.73365905	0.00119022	9.28373100
-0.72865905	0.00674459	8.17285700
-0.72365905	0.00674459	8.17285700
-0.71865905	0.00119022	9.28373100
-0.71365905	0.00119022	9.28373100
-0.70865905	0.00674459	8.17285700
-0.70365905	0.00686667	8.14844100
-0.69865905	0.00177007	9.16776000
-0.69365905	-0.00070193	9.66216000
-0.68865905	-0.00070193	9.66216000
-0.68365905	0.00177007	9.16776000
-0.67865905	0.00686667	8.14844100
-0.67365905	0.00686667	8.14844100
-0.66865905	0.00177007	9.16776000
-0.66365905	-0.00057985	9.63774600
-0.65865905	-0.00012207	9.54619000
-0.65365905	0.00000000	9.52177400
-0.64865905	0.00000000	9.52177400
-0.64365905	0.00000000	9.52177400
-0.63865905	0.00000000	9.52177400
-0.63365905	0.00000000	9.52177400
-0.62865905	0.00000000	9.52177400
-0.62365905	0.00000000	9.52177400
