Time	Channel A	Channel B
(us)	(V)	(mV)

-2.00403792	-0.00793481	-1.58696200
-1.98403792	-0.00793481	-1.58696200
-1.96403792	-0.00793481	-1.58696200
-1.94403792	-0.00793481	-3.17392500
-1.92403792	-0.00793481	-1.58696200
-1.90403792	-0.00793481	-3.17392500
-1.88403792	-0.00793481	-3.17392500
-1.86403792	-0.00793481	-3.17392500
-1.84403793	-0.00793481	-1.58696200
-1.82403793	-0.00793481	-3.17392500
-1.80403793	-0.00793481	-6.34785000
-1.78403793	-0.00793481	-4.76088700
-1.76403793	-0.00793481	-3.17392500
-1.74403793	-0.00793481	-3.17392500
-1.72403793	-0.00793481	-3.17392500
-1.70403793	0.00000000	-4.76088700
-1.68403793	-0.00793481	-4.76088700
-1.66403793	-0.00793481	-4.76088700
-1.64403793	-0.00793481	-3.17392500
-1.62403793	-0.00793481	-3.17392500
-1.60403793	-0.00793481	-3.17392500
-1.58403793	0.00000000	-3.17392500
-1.56403793	-0.00793481	-3.17392500
-1.54403793	-0.00793481	-4.76088700
-1.52403793	-0.00793481	-4.76088700
-1.50403793	-0.00793481	-4.76088700
-1.48403793	-0.00793481	-4.76088700
-1.46403793	-0.00793481	-3.17392500
-1.44403793	0.00000000	-3.17392500
-1.42403793	-0.00793481	-3.17392500
-1.40403793	-0.00793481	-3.17392500
-1.38403793	-0.00793481	-3.17392500
-1.36403793	-0.00793481	-3.17392500
-1.34403793	-0.00793481	-4.76088700
-1.32403793	-0.00793481	-4.76088700
-1.30403793	0.00000000	-3.17392500
-1.28403793	-0.00793481	-4.76088700
-1.26403793	-0.00793481	-3.17392500
-1.24403793	-0.00793481	-1.58696200
-1.22403793	0.00000000	-1.58696200
-1.20403793	-0.00793481	-1.58696200
-1.18403793	-0.00793481	-1.58696200
-1.16403793	-0.00793481	-3.17392500
-1.14403793	-0.00793481	-3.17392500
-1.12403793	-0.00793481	-1.58696200
-1.10403793	-0.00793481	-3.17392500
-1.08403793	-0.00793481	-3.17392500
-1.06403793	-0.00793481	-3.17392500
-1.04403793	-0.00793481	-4.76088700
-1.02403793	-0.00793481	-3.17392500
-1.00403793	-0.00793481	-3.17392500
-0.98403793	-0.00793481	-3.17392500
-0.96403793	-0.00793481	-3.17392500
-0.94403793	-0.00793481	-4.76088700
-0.92403793	-0.00793481	-3.17392500
-0.90403793	-0.00793481	-4.76088700
-0.88403793	-0.00793481	-4.76088700
-0.86403793	-0.00793481	-3.17392500
-0.84403793	0.00000000	-1.58696200
-0.82403793	-0.00793481	-3.17392500
-0.80403793	-0.00793481	-3.17392500
-0.78403793	-0.00793481	-4.76088700
-0.76403793	-0.00793481	-4.76088700
-0.74403793	-0.00793481	-6.34785000
-0.72403793	-0.00793481	-4.76088700
-0.70403793	-0.00793481	-3.17392500
-0.68403793	-0.00793481	-4.76088700
-0.66403793	-0.00793481	-3.17392500
-0.64403793	-0.00793481	-1.58696200
-0.62403793	-0.00793481	-3.17392500
-0.60403793	-0.00793481	-1.58696200
