Time	Channel A	Channel B
(us)	(V)	(mV)

-1.00395895	-0.00793481	-4.76088700
-0.99895895	-0.00793481	-4.76088700
-0.99395895	-0.00793481	-4.73647300
-0.98895895	-0.00793481	-4.64491700
-0.98395895	-0.00793481	-5.11490200
-0.97895895	-0.00793481	-6.13422100
-0.97395895	-0.00793481	-6.13422100
-0.96895895	-0.00793481	-5.11490200
-0.96395895	-0.00793481	-4.64491700
-0.95895895	-0.00793481	-4.73647300
-0.95395895	-0.00793481	-4.76088700
-0.94895895	-0.00793481	-4.76088700
-0.94395895	-0.00793481	-4.76088700
-0.93895895	-0.00793481	-4.76088700
-0.93395895	-0.00793481	-4.76088700
-0.92895895	-0.00793481	-4.76088700
-0.92395895	-0.00793481	-4.76088700
-0.91895895	-0.00793481	-4.76088700
-0.91395895	-0.00793481	-4.73647300
-0.90895895	-0.00793481	-4.64491700
-0.90395895	-0.00793481	-5.11490200
-0.89895895	-0.00793481	-6.13422100
-0.89395895	-0.00793481	-6.13422100
-0.88895895	-0.00793481	-5.11490200
-0.88395895	-0.00793481	-4.62050200
-0.87895895	-0.00793481	-4.62050200
-0.87395895	-0.00793481	-5.11490200
-0.86895896	-0.00793481	-6.13422100
-0.86395896	-0.00793481	-6.10980600
-0.85895896	-0.00793481	-4.99893200
-0.85395896	-0.00793481	-4.99893200
-0.84895896	-0.00793481	-6.10980600
-0.84395896	-0.00793481	-6.13422100
-0.83895896	-0.00793481	-5.11490200
-0.83395896	-0.00793481	-4.64491700
-0.82895896	-0.00793481	-4.73647300
-0.82395896	-0.00793481	-4.73647300
-0.81895896	-0.00793481	-4.64491700
-0.81395896	-0.00793481	-5.11490200
-0.80895896	-0.00793481	-6.13422100
-0.80395896	-0.00793481	-6.13422100
-0.79895896	-0.00793481	-5.11490200
-0.79395896	-0.00793481	-4.64491700
-0.78895896	-0.00793481	-4.73647300
-0.78395896	-0.00793481	-4.76088700
-0.77895896	-0.00793481	-4.76088700
-0.77395896	-0.00793481	-4.76088700
-0.76895896	-0.00793481	-4.76088700
-0.76395896	-0.00793481	-4.76088700
-0.75895896	-0.00793481	-4.76088700
-0.75395896	-0.00793481	-4.76088700
-0.74895896	-0.00793481	-4.76088700
-0.74395896	-0.00793481	-4.76088700
-0.73895896	-0.00793481	-4.76088700
-0.73395896	-0.00793481	-4.73647300
-0.72895896	-0.00793481	-4.64491700
-0.72395896	-0.00793481	-5.11490200
-0.71895896	-0.00793481	-6.13422100
-0.71395896	-0.00793481	-6.10980600
-0.70895896	-0.00793481	-4.99893200
-0.70395896	-0.00793481	-4.97451700
-0.69895896	-0.00793481	-5.99383500
-0.69395896	-0.00793481	-6.48823500
-0.68895896	-0.00793481	-6.48823500
-0.68395896	-0.00793481	-5.99383500
-0.67895896	-0.00793481	-4.97451700
-0.67395896	-0.00793481	-4.97451700
-0.66895896	-0.00793481	-5.99383500
-0.66395896	-0.00793481	-6.46382000
-0.65895896	-0.00793481	-6.37226500
