Time	Channel A	Channel B
(us)	(V)	(mV)

-4.98007603	-0.03173925	-33.33232000
-4.94007603	-0.03173925	-33.33232000
-4.90007603	-0.03173925	-33.33232000
-4.86007603	-0.03173925	-33.33232000
-4.82007603	-0.03173925	-31.74535000
-4.78007603	-0.03173925	-33.33232000
-4.74007603	-0.03173925	-31.74535000
-4.70007603	-0.03173925	-31.74535000
-4.66007603	-0.03173925	-31.74535000
-4.62007603	-0.03173925	-31.74535000
-4.58007603	-0.03173925	-31.74535000
-4.54007603	-0.03173925	-33.33232000
-4.50007603	-0.03173925	-31.74535000
-4.46007603	-0.03173925	-31.74535000
-4.42007603	-0.03173925	-31.74535000
-4.38007603	-0.03173925	-31.74535000
-4.34007603	-0.03173925	-33.33232000
-4.30007603	-0.03173925	-33.33232000
-4.26007603	-0.03173925	-33.33232000
-4.22007603	-0.03173925	-31.74535000
-4.18007603	-0.03173925	-31.74535000
-4.14007603	-0.03173925	-31.74535000
-4.10007603	-0.03173925	-31.74535000
-4.06007603	-0.03173925	-34.91928000
-4.02007603	-0.03173925	-34.91928000
-3.98007603	-0.03173925	-34.91928000
-3.94007603	-0.03173925	-33.33232000
-3.90007603	-0.03173925	-31.74535000
-3.86007603	-0.03173925	-33.33232000
-3.82007604	-0.03173925	-31.74535000
-3.78007604	-0.03173925	-30.15839000
-3.74007604	-0.03173925	-31.74535000
-3.70007604	-0.03173925	-31.74535000
-3.66007604	-0.03173925	-33.33232000
-3.62007604	-0.03173925	-33.33232000
-3.58007604	-0.03173925	-31.74535000
-3.54007604	-0.03173925	-33.33232000
-3.50007604	-0.03173925	-33.33232000
-3.46007604	-0.03173925	-33.33232000
-3.42007604	-0.03173925	-33.33232000
-3.38007604	-0.03173925	-33.33232000
-3.34007604	-0.03173925	-31.74535000
-3.30007604	-0.03173925	-33.33232000
-3.26007604	-0.03173925	-34.91928000
-3.22007604	-0.03173925	-33.33232000
-3.18007604	-0.03173925	-33.33232000
-3.14007604	-0.03173925	-34.91928000
-3.10007604	-0.03173925	-36.50624000
-3.06007604	-0.03173925	-34.91928000
-3.02007604	-0.03173925	-31.74535000
-2.98007604	-0.03173925	-34.91928000
-2.94007604	-0.03173925	-33.33232000
-2.90007604	-0.03173925	-31.74535000
-2.86007604	-0.03173925	-33.33232000
-2.82007604	-0.03173925	-33.33232000
-2.78007604	-0.03173925	-33.33232000
-2.74007604	-0.03173925	-31.74535000
-2.70007604	-0.03173925	-33.33232000
-2.66007604	-0.03173925	-33.33232000
-2.62007604	-0.03173925	-33.33232000
-2.58007604	-0.03173925	-33.33232000
-2.54007604	-0.03173925	-33.33232000
-2.50007604	-0.03173925	-31.74535000
-2.46007604	-0.03173925	-34.91928000
-2.42007604	-0.03173925	-33.33232000
-2.38007604	-0.03173925	-33.33232000
-2.34007604	-0.03173925	-31.74535000
-2.30007604	-0.03173925	-33.33232000
-2.26007604	-0.03173925	-33.33232000
-2.22007604	-0.03173925	-33.33232000
