Time,Channel A,Channel B
(us),(mV),(mV)

-1.00757601,-3.96740600,-3.28989500
-1.00257601,-3.96740600,-3.19834000
-0.99757601,-3.96740600,-3.17392500
-0.99257601,-3.96740600,-3.17392500
-0.98757601,-3.96740600,-3.19834000
-0.98257601,-3.96740600,-3.28989500
-0.97757601,-3.96740600,-2.81991000
-0.97257601,-3.96740600,-1.80059200
-0.96757601,-3.96740600,-1.82500700
-0.96257601,-3.96740600,-2.93588100
-0.95757601,-3.96740600,-2.93588100
-0.95257601,-3.96740600,-1.82500700
-0.94757601,-3.96740600,-1.80059200
-0.94257602,-3.96740600,-2.81991000
-0.93757602,-3.96740600,-3.28989500
-0.93257602,-3.96740600,-3.19834000
-0.92757602,-3.96740600,-3.17392500
-0.92257602,-3.96740600,-3.17392500
-0.91757602,-3.96740600,-3.14951000
-0.91257602,-3.96740600,-3.05795500
-0.90757602,-3.96740600,-3.52794000
-0.90257602,-3.96740600,-4.54725700
-0.89757602,-3.96740600,-4.54725700
-0.89257602,-3.96740600,-3.52794000
-0.88757602,-3.96740600,-3.03354000
-0.88257602,-3.96740600,-3.03354000
-0.87757602,-3.96740600,-3.52794000
-0.87257602,-3.96740600,-4.54725700
-0.86757602,-3.96740600,-4.54725700
-0.86257602,-3.96740600,-3.52794000
-0.85757602,-3.96740600,-3.08237000
-0.85257602,-3.96740600,-3.26548100
-0.84757602,-3.96740600,-2.84432500
-0.84257602,-3.96740600,-1.91656200
-0.83757602,-3.96740600,-1.44657700
-0.83257602,-3.96740600,-1.44657700
-0.82757602,-3.96740600,-1.94097700
-0.82257602,-3.96740600,-2.96029500
-0.81757602,-3.96740600,-2.96029500
-0.81257602,-3.96740600,-1.94097700
-0.80757602,-3.96740600,-1.44657700
-0.80257602,-3.96740600,-1.44657700
-0.79757602,-3.96740600,-1.94097700
-0.79257602,-3.96740600,-2.96029500
-0.78757602,-3.96740600,-2.96029500
-0.78257602,-3.96740600,-1.94097700
-0.77757602,-3.96740600,-1.44657700
-0.77257602,-3.96740600,-1.44657700
-0.76757602,-3.96740600,-1.91656200
-0.76257602,-3.96740600,-2.84432500
-0.75757602,-3.96740600,-3.28989500
-0.75257602,-3.96740600,-3.19834000
-0.74757602,-3.96740600,-3.17392500
-0.74257602,-3.96740600,-3.17392500
-0.73757602,-3.96740600,-3.14951000
-0.73257602,-3.96740600,-3.05795500
-0.72757602,-3.96740600,-3.50352500
-0.72257602,-3.96740600,-4.43128700
