Time	Channel A	Channel B
(us)	(V)	(mV)

-1.01073605	-0.00793481	-1.94097700
-1.00573605	-0.00793481	-2.96029500
-1.00073605	-0.00793481	-2.93588100
-0.99573605	-0.00793481	-1.82500700
-0.99073605	-0.00805689	-1.80059200
-0.98573605	-0.00851466	-2.81991000
-0.98073605	-0.00616474	-3.28989500
-0.97573605	-0.00106815	-3.19834000
-0.97073605	-0.00106815	-3.17392500
-0.96573605	-0.00616474	-3.17392500
-0.96073605	-0.00863674	-3.14951000
-0.95573605	-0.00863674	-3.05795500
-0.95073605	-0.00616474	-3.50352500
-0.94573605	-0.00106815	-4.43128700
-0.94073605	-0.00106815	-4.90127200
-0.93573605	-0.00616474	-4.90127200
-0.93073605	-0.00851466	-4.43128700
-0.92573605	-0.00805689	-3.50352500
-0.92073605	-0.00793481	-3.03354000
-0.91573605	-0.00793481	-3.03354000
-0.91073605	-0.00793481	-3.52794000
-0.90573605	-0.00793481	-4.54725700
-0.90073605	-0.00793481	-4.54725700
-0.89573605	-0.00793481	-3.52794000
-0.89073605	-0.00793481	-3.05795500
-0.88573605	-0.00793481	-3.14951000
-0.88073605	-0.00793481	-3.17392500
-0.87573605	-0.00793481	-3.17392500
-0.87073605	-0.00793481	-3.14951000
-0.86573605	-0.00793481	-3.05795500
-0.86073605	-0.00793481	-3.50352500
-0.85573605	-0.00793481	-4.43128700
-0.85073605	-0.00793481	-4.87685800
-0.84573605	-0.00793481	-4.78530200
-0.84073605	-0.00793481	-4.76088700
-0.83573606	-0.00793481	-4.76088700
-0.83073606	-0.00793481	-4.76088700
-0.82573606	-0.00793481	-4.76088700
-0.82073606	-0.00793481	-4.76088700
-0.81573606	-0.00793481	-4.76088700
-0.81073606	-0.00793481	-4.76088700
-0.80573606	-0.00793481	-4.76088700
-0.80073606	-0.00805689	-4.76088700
-0.79573606	-0.00851466	-4.76088700
-0.79073606	-0.00616474	-4.78530200
-0.78573606	-0.00106815	-4.87685800
-0.78073606	-0.00106815	-4.43128700
-0.77573606	-0.00616474	-3.50352500
-0.77073606	-0.00851466	-3.05795500
-0.76573606	-0.00805689	-3.14951000
-0.76073606	-0.00793481	-3.17392500
-0.75573606	-0.00793481	-3.17392500
-0.75073606	-0.00793481	-3.17392500
-0.74573606	-0.00793481	-3.17392500
-0.74073606	-0.00793481	-3.19834000
-0.73573606	-0.00793481	-3.28989500
-0.73073606	-0.00793481	-2.81991000
-0.72573606	-0.00793481	-1.80059200
-0.72073606	-0.00805689	-1.80059200
-0.71573606	-0.00851466	-2.81991000
-0.71073606	-0.00616474	-3.31431000
-0.70573606	-0.00106815	-3.31431000
-0.70073606	-0.00106815	-2.81991000
-0.69573606	-0.00616474	-1.80059200
-0.69073606	-0.00851466	-1.82500700
-0.68573606	-0.00805689	-2.93588100
-0.68073606	-0.00793481	-2.96029500
-0.67573606	-0.00793481	-1.94097700
-0.67073606	-0.00793481	-1.47099200
-0.66573606	-0.00793481	-1.56254800
