Time	Channel A	Channel B
(us)	(mV)	(mV)

-1.00850995	-0.82399970	-1.70293300
-1.00350995	-3.14340600	-1.61137700
-0.99850995	-4.31836900	-1.58696200
-0.99350995	-4.31836900	-1.58696200
-0.98850995	-3.08236900	-1.58696200
-0.98350995	-0.53407390	-1.58696200
-0.97850995	-0.59511090	-1.58696200
-0.97350995	-3.37229500	-1.58696200
-0.96850995	-3.37229500	-1.56254800
-0.96350995	-0.59511090	-1.47099200
-0.95850995	-0.53407390	-1.91656200
-0.95350995	-3.08236900	-2.84432500
-0.94850995	-4.31836900	-3.31431000
-0.94350995	-4.31836900	-3.31431000
-0.93850995	-3.08236900	-2.86874000
-0.93350995	-0.53407390	-2.03253300
-0.92850995	-0.59511090	-1.11697700
-0.92350995	-3.37229500	-0.18921480
-0.91850995	-3.43333200	-0.21362960
-0.91350995	-0.88503670	-1.23294800
-0.90850995	0.28992580	-1.70293300
-0.90350995	0.06103702	-1.61137700
-0.89850995	0.00000000	-1.56254800
-0.89350995	0.00000000	-1.47099200
-0.88850995	0.06103702	-1.94097700
-0.88350995	0.28992580	-2.96029500
-0.87850995	-0.88503670	-2.96029500
-0.87350995	-3.43333200	-1.94097700
-0.86850995	-3.37229500	-1.47099200
-0.86350995	-0.59511090	-1.56254800
-0.85850995	-0.59511090	-1.58696200
-0.85350995	-3.37229500	-1.58696200
-0.84850995	-3.43333200	-1.58696200
-0.84350995	-0.88503670	-1.58696200
-0.83850995	0.28992580	-1.58696200
-0.83350995	0.06103702	-1.58696200
-0.82850995	0.00000000	-1.58696200
-0.82350995	0.00000000	-1.58696200
-0.81850995	0.06103702	-1.61137700
-0.81350995	0.28992580	-1.70293300
-0.80850995	-0.88503670	-1.23294800
-0.80350995	-3.43333200	-0.21362960
-0.79850995	-3.43333200	-0.21362960
-0.79350995	-0.88503670	-1.23294800
-0.78850995	0.28992580	-1.70293300
-0.78350995	0.06103702	-1.61137700
-0.77850995	0.00000000	-1.58696200
-0.77350995	0.00000000	-1.58696200
-0.76850995	0.00000000	-1.58696200
-0.76350995	0.00000000	-1.58696200
-0.75850995	0.00000000	-1.56254800
-0.75350995	0.00000000	-1.47099200
-0.74850995	0.06103702	-1.94097700
-0.74350995	0.28992580	-2.96029500
-0.73850995	-0.82399970	-2.93588100
-0.73350995	-3.14340600	-1.82500700
-0.72850995	-4.31836900	-1.80059200
-0.72350995	-4.31836900	-2.81991000
-0.71850995	-3.14340600	-3.26548100
