Time	Channel A	Channel B
(us)	(mV)	(mV)

-1.00705794	-7.93481200	-7.93481200
-1.00205794	-7.93481200	-7.93481200
-0.99705794	-7.93481200	-7.93481200
-0.99205794	-7.93481200	-7.93481200
-0.98705794	-7.93481200	-7.93481200
-0.98205794	-7.93481200	-7.93481200
-0.97705794	-7.93481200	-7.93481200
-0.97205794	-7.93481200	-7.93481200
-0.96705794	-7.93481200	-7.93481200
-0.96205794	-7.93481200	-7.93481200
-0.95705794	-7.93481200	-7.93481200
-0.95205794	-7.93481200	-7.93481200
-0.94705794	-7.93481200	-7.93481200
-0.94205794	-7.93481200	-7.93481200
-0.93705794	-7.93481200	-7.93481200
-0.93205794	-7.93481200	-7.93481200
-0.92705794	-7.93481200	-7.93481200
-0.92205794	-7.93481200	-7.93481200
-0.91705794	-7.93481200	-7.93481200
-0.91205794	-7.93481200	-7.93481200
-0.90705794	-7.93481200	-7.93481200
-0.90205794	-7.93481200	-7.93481200
-0.89705794	-7.93481200	-7.93481200
-0.89205794	-7.93481200	-7.93481200
-0.88705794	-7.93481200	-7.93481200
-0.88205794	-7.93481200	-7.93481200
-0.87705794	-7.93481200	-7.93481200
-0.87205794	-7.93481200	-7.93481200
-0.86705794	-7.93481200	-7.93481200
-0.86205794	-7.93481200	-7.93481200
-0.85705794	-7.93481200	-7.93481200
-0.85205794	-7.93481200	-7.93481200
-0.84705794	-7.93481200	-7.93481200
-0.84205794	-7.93481200	-7.93481200
-0.83705794	-7.93481200	-7.93481200
-0.83205794	-7.93481200	-7.93481200
-0.82705794	-7.93481200	-7.93481200
-0.82205794	-7.93481200	-7.93481200
-0.81705794	-7.93481200	-7.93481200
-0.81205794	-7.93481200	-7.93481200
-0.80705794	-7.93481200	-7.93481200
-0.80205794	-7.93481200	-7.93481200
-0.79705794	-7.93481200	-7.93481200
-0.79205795	-7.93481200	-7.93481200
-0.78705795	-7.93481200	-7.93481200
-0.78205795	-7.93481200	-7.93481200
-0.77705795	-7.93481200	-7.93481200
-0.77205795	-7.93481200	-7.93481200
-0.76705795	-7.93481200	-7.93481200
-0.76205795	-7.93481200	-7.93481200
-0.75705795	-7.93481200	-7.93481200
-0.75205795	-7.93481200	-7.93481200
-0.74705795	-7.93481200	-7.93481200
-0.74205795	-7.93481200	-7.93481200
-0.73705795	-7.93481200	-7.93481200
-0.73205795	-7.93481200	-7.93481200
-0.72705795	-7.93481200	-7.93481200
-0.72205795	-7.93481200	-7.93481200
