Time	Channel A	Channel B
(us)	(mV)	(mV)

-1.00954405	3.96740600	5.11490200
-1.00454405	3.96740600	6.13422100
-0.99954405	3.96740600	6.10980600
-0.99454405	3.96740600	4.99893200
-0.98954405	3.96740600	4.99893200
-0.98454405	3.96740600	6.10980600
-0.97954405	3.96740600	6.13422100
-0.97454405	3.96740600	5.11490200
-0.96954405	3.96740600	4.64491700
-0.96454405	3.96740600	4.73647300
-0.95954405	3.96740600	4.76088700
-0.95454405	3.96740600	4.76088700
-0.94954405	3.96740600	4.78530200
-0.94454405	3.96740600	4.87685800
-0.93954405	3.96740600	4.40687300
-0.93454405	3.96740600	3.38755500
-0.92954405	3.96740600	3.38755500
-0.92454405	3.96740600	4.40687300
-0.91954405	3.96740600	4.87685800
-0.91454405	3.96740600	4.78530200
-0.90954405	3.96740600	4.78530200
-0.90454405	3.96740600	4.87685800
-0.89954405	3.96740600	4.40687300
-0.89454405	3.96740600	3.38755500
-0.88954405	3.96740600	3.41196900
-0.88454405	3.96740600	4.52284300
-0.87954405	3.96740600	4.52284300
-0.87454405	3.96740600	3.41196900
-0.86954405	3.96740600	3.38755500
-0.86454405	3.96740600	4.40687300
-0.85954405	3.96740600	4.85244300
-0.85454405	3.96740600	4.66933200
-0.84954405	3.96740600	5.11490200
-0.84454405	3.96740600	6.13422100
-0.83954405	3.96740600	6.13422100
-0.83454405	3.96740600	5.11490200
-0.82954405	3.96740600	4.62050200
-0.82454405	3.96740600	4.62050200
-0.81954405	3.96740600	5.09048700
-0.81454405	3.96740600	6.01825000
-0.80954405	3.96740600	6.48823500
-0.80454405	3.96740600	6.48823500
-0.79954405	3.96740600	6.01825000
-0.79454405	3.96740600	5.09048700
-0.78954405	3.96740600	4.64491700
-0.78454405	3.96740600	4.73647300
-0.77954405	3.96740600	4.76088700
-0.77454405	3.96740600	4.76088700
-0.76954405	3.96740600	4.76088700
-0.76454405	3.96740600	4.76088700
-0.75954405	3.96740600	4.76088700
-0.75454405	3.96740600	4.76088700
-0.74954405	3.96740600	4.76088700
-0.74454405	3.96740600	4.76088700
-0.73954405	3.96740600	4.76088700
-0.73454405	3.96740600	4.76088700
-0.72954405	3.96740600	4.73647300
-0.72454405	3.96740600	4.64491700
-0.71954405	3.96740600	5.09048700
-0.71454405	3.96740600	6.01825000
-0.70954405	3.96740600	6.46382000
-0.70454405	3.96740600	6.37226500
-0.69954405	3.96740600	6.32343500
-0.69454405	3.96740600	6.23187900
