Time	Channel A	Channel B
(us)	(mV)	(mV)

-1.00558001	-3.96740600	-3.17392500
-1.00058001	-3.96740600	-3.17392500
-0.99558001	-3.96740600	-3.19834000
-0.99058001	-3.96740600	-3.28989500
-0.98558001	-3.96740600	-2.81991000
-0.98058001	-3.96740600	-1.80059200
-0.97558001	-3.96740600	-1.82500700
-0.97058002	-3.96740600	-2.93588100
-0.96558002	-3.96740600	-2.96029500
-0.96058002	-3.96740600	-1.94097700
-0.95558002	-3.96740600	-1.47099200
-0.95058002	-3.96740600	-1.56254800
-0.94558002	-3.96740600	-1.61137700
-0.94058002	-3.96740600	-1.70293300
-0.93558002	-4.02844300	-1.20853300
-0.93058002	-4.25733200	-0.09765923
-0.92558002	-3.08236900	-0.56764430
-0.92058002	-0.53407390	-2.60628100
-0.91558002	-0.53407390	-3.07626600
-0.91058002	-3.08236900	-1.96539200
-0.90558002	-4.25733200	-1.47099200
-0.90058002	-4.02844300	-1.56254800
-0.89558002	-3.96740600	-1.56254800
-0.89058002	-3.96740600	-1.47099200
-0.88558002	-3.96740600	-1.91656200
-0.88058002	-3.96740600	-2.84432500
-0.87558002	-3.96740600	-3.31431000
-0.87058002	-3.96740600	-3.31431000
-0.86558002	-3.96740600	-2.81991000
-0.86058002	-3.96740600	-1.80059200
-0.85558002	-3.96740600	-1.82500700
-0.85058002	-3.96740600	-2.93588100
-0.84558002	-3.96740600	-2.98471000
-0.84058002	-3.96740600	-2.05694700
-0.83558002	-3.96740600	-1.11697700
-0.83058002	-3.96740600	-0.18921480
-0.82558002	-3.96740600	-0.23804440
-0.82058002	-3.96740600	-1.34891800
-0.81558002	-3.96740600	-1.34891800
-0.81058002	-3.96740600	-0.23804440
-0.80558002	-3.96740600	-0.21362960
-0.80058002	-3.96740600	-1.23294800
-0.79558002	-3.96740600	-1.70293300
-0.79058002	-3.96740600	-1.61137700
-0.78558002	-3.96740600	-1.56254800
-0.78058002	-3.96740600	-1.47099200
-0.77558002	-3.96740600	-1.91656200
-0.77058002	-3.96740600	-2.84432500
-0.76558002	-3.96740600	-3.28989500
-0.76058002	-3.96740600	-3.19834000
-0.75558002	-3.96740600	-3.17392500
-0.75058002	-3.96740600	-3.17392500
-0.74558002	-3.96740600	-3.17392500
-0.74058002	-3.96740600	-3.17392500
-0.73558002	-3.96740600	-3.17392500
-0.73058002	-3.96740600	-3.17392500
-0.72558002	-3.96740600	-3.17392500
-0.72058002	-3.96740600	-3.17392500
