Time	Channel A	Channel B
(us)	(mV)	(mV)

-1.00535105	8.22473800	7.93481200
-1.00035105	7.99584900	7.93481200
-0.99535105	7.99584900	7.93481200
-0.99035105	8.22473800	7.93481200
-0.98535105	7.04977500	7.93481200
-0.98035105	4.50148000	7.93481200
-0.97535105	4.50148000	7.93481200
-0.97035105	7.04977500	7.93481200
-0.96535105	8.28577500	7.93481200
-0.96035105	8.28577500	7.93481200
-0.95535105	7.04977500	7.93481200
-0.95035105	4.50148000	7.93481200
-0.94535105	4.50148000	7.93481200
-0.94035105	7.04977500	7.93481200
-0.93535105	8.22473800	7.93481200
-0.93035105	7.99584900	7.93481200
-0.92535105	7.99584900	7.93481200
-0.92035105	8.22473800	7.93481200
-0.91535105	7.04977500	7.93481200
-0.91035105	4.50148000	7.93481200
-0.90535105	4.50148000	7.93481200
-0.90035105	7.04977500	7.93481200
-0.89535105	8.22473800	7.93481200
-0.89035105	7.99584900	7.93481200
-0.88535105	7.93481200	7.93481200
-0.88035105	7.93481200	7.93481200
-0.87535105	7.93481200	7.93481200
-0.87035105	7.93481200	7.93481200
-0.86535105	7.93481200	7.93481200
-0.86035105	7.93481200	7.93481200
-0.85535105	7.93481200	7.93481200
-0.85035105	7.93481200	7.93481200
-0.84535105	7.93481200	7.93481200
-0.84035105	7.93481200	7.93481200
-0.83535105	7.93481200	7.93481200
-0.83035105	7.93481200	7.93481200
-0.82535105	7.93481200	7.93481200
-0.82035105	7.93481200	7.93481200
-0.81535105	7.93481200	7.93481200
-0.81035105	7.93481200	7.93481200
-0.80535105	7.93481200	7.93481200
-0.80035105	7.93481200	7.93481200
-0.79535105	7.93481200	7.93481200
-0.79035105	7.93481200	7.93481200
-0.78535105	7.93481200	7.93481200
-0.78035105	7.93481200	7.93481200
-0.77535105	7.93481200	7.93481200
-0.77035105	7.93481200	7.93481200
-0.76535105	7.93481200	7.93481200
-0.76035105	7.93481200	7.93481200
-0.75535105	7.93481200	7.93481200
-0.75035105	7.93481200	7.93481200
-0.74535105	7.93481200	7.93481200
-0.74035105	7.93481200	7.93481200
-0.73535105	7.93481200	7.93481200
-0.73035105	7.93481200	7.93481200
-0.72535105	7.93481200	7.93481200
-0.72035105	7.93481200	7.93481200
-0.71535105	7.93481200	7.93481200
-0.71035105	7.93481200	7.93481200
-0.70535105	7.93481200	7.93481200
-0.70035105	7.93481200	7.93481200
-0.69535105	7.93481200	7.93481200
-0.69035105	7.93481200	7.93481200
